,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
325,10,0.01,0.01,0,0.9,1.099379542,1.149993225
206,9,0.01,0.1,0.02,0.99,1.111320991,1.150009276
86,8,0.1,0.0001,0.04,0.99,1.039918893,1.150109246
77,8,0.1,0.0001,0.01,0.99,0.998770953,1.150190698
259,9,0.1,0.01,0.02,0.9,0.991661845,1.150299245
3,8,0.01,0.0001,0.01,0.5,1.107311072,1.150384021
188,9,0.01,0.01,0.02,0.99,1.106843391,1.150397039
234,9,0.1,0.001,0,0.5,0.868917164,1.150471733
307,10,0.01,0.001,0,0.9,1.100310172,1.150600288
98,8,0.1,0.001,0.02,0.99,1.003021186,1.150673684
355,10,0.01,0.1,0.04,0.9,1.112952424,1.150717559
1,8,0.01,0.0001,0,0.9,1.111416115,1.150734895
101,8,0.1,0.001,0.03,0.99,1.010097755,1.150746073
147,9,0.01,0.0001,0.01,0.5,1.102098704,1.1507662
59,8,0.01,0.1,0.01,0.99,1.113262069,1.150773433
132,8,0.1,0.1,0.02,0.5,0.969807773,1.150813585
277,9,0.1,0.1,0.02,0.9,0.980797389,1.150850306
199,9,0.01,0.1,0,0.9,1.11323762,1.15087366
103,8,0.1,0.001,0.04,0.9,1.00845633,1.150908898
335,10,0.01,0.01,0.03,0.99,1.106854869,1.15102886
342,10,0.01,0.1,0,0.5,1.111769246,1.151063128
83,8,0.1,0.0001,0.03,0.99,1.029739205,1.151133909
82,8,0.1,0.0001,0.03,0.9,1.002191856,1.151161811
224,9,0.1,0.0001,0.02,0.99,1.007321304,1.151241996
60,8,0.01,0.1,0.02,0.5,1.113055657,1.151248133
37,8,0.01,0.01,0,0.9,1.104650203,1.151267718
175,9,0.01,0.001,0.04,0.9,1.110548126,1.151287833
53,8,0.01,0.01,0.05,0.99,1.11068269,1.151507487
347,10,0.01,0.1,0.01,0.99,1.106838871,1.151530663
140,8,0.1,0.1,0.04,0.99,1.06266685,1.151560085
376,10,0.1,0.0001,0.05,0.9,0.995796109,1.151586489
12,8,0.01,0.0001,0.04,0.5,1.111328741,1.15166689
331,10,0.01,0.01,0.02,0.9,1.107626797,1.151678621
184,9,0.01,0.01,0.01,0.9,1.102819024,1.151904936
314,10,0.01,0.001,0.02,0.99,1.105540643,1.152013334
309,10,0.01,0.001,0.01,0.5,1.100332822,1.152026559
229,9,0.1,0.0001,0.04,0.9,1.021432868,1.152046054
125,8,0.1,0.01,0.05,0.99,1.056059364,1.152062623
7,8,0.01,0.0001,0.02,0.9,1.105126623,1.152217843
